path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/it/target/0.png,18,18,0
Adversarial_img/in_distribution/it/target/1.png,18,18,0
Adversarial_img/in_distribution/it/target/2.png,18,18,0
Adversarial_img/in_distribution/it/target/3.png,18,18,0
Adversarial_img/in_distribution/it/target/4.png,18,18,0
Adversarial_img/in_distribution/it/target/5.png,11,11,0
Adversarial_img/in_distribution/it/target/6.png,18,18,0
Adversarial_img/in_distribution/it/target/7.png,11,11,0
Adversarial_img/in_distribution/it/target/8.png,18,18,0
Adversarial_img/in_distribution/it/target/9.png,18,18,0
Adversarial_img/in_distribution/it/target/10.png,18,18,0
Adversarial_img/in_distribution/it/target/11.png,18,18,0
Adversarial_img/in_distribution/it/target/12.png,18,18,0
Adversarial_img/in_distribution/it/target/13.png,11,18,0
Adversarial_img/in_distribution/it/target/14.png,18,18,0
Adversarial_img/in_distribution/it/target/15.png,18,18,0
Adversarial_img/in_distribution/it/target/16.png,18,18,0
Adversarial_img/in_distribution/it/target/17.png,18,18,0
Adversarial_img/in_distribution/it/target/18.png,18,18,0
